arch,n,noise,Ld,cellPx,gapPx,pitch_um,cells,bits_per_mm2,G0,s,Ia,seed,t,ber,on_min,on_mean,off_max,lyapunov_at_end,intensity_residual
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,1,1000,0.125,0.00007476406819041512,1.1363564705420364,0.0018466820828212517,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,1,3000,0.125,0.00006198862365838575,1.1250313055151042,0.0017638021118179749,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,2,1,0,0.8398339908896009,1.6664849116782587,0.010918391836804276,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,2,3,0.0625,0.23577904978526204,1.4771525791432019,0.007550670436045169,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,2,10,0.125,0.00005541088210572928,1.2718572360287288,0.002007990766401639,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,2,30,0.125,0.000021195036636801563,1.1896330644129516,0.001487444625372372,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,2,100,0.125,0.000019209111515729033,1.1596333844281526,0.0013227545385684843,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,2,300,0.125,0.000020680505161056915,1.170104108700338,0.0018483141122808049,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,2,1000,0.125,0.000024212605215525514,1.1784633249568124,0.0013756683675696718,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,2,3000,0.125,0.00002631411366736528,1.1646690505868864,0.0018397204476265966,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,3,1,0,1.2697443912880677,1.8116524254578916,0.0018265602521183569,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,3,3,0,0.7047619974445771,1.7100665921461382,0.0027510569542725646,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,3,10,0.0625,0.08360350475578432,1.5402362648759726,0.002923677563371493,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,3,30,0.0625,0.00017931306347086272,1.4515551242117863,0.002651063778177809,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,3,100,0.0625,0.0001289594083971193,1.419223641095433,0.0021186099975284067,NaN,NaN
B_4f,64,0,0,3,3,381,16,6.89,3.5,-0.9,0.3,3,300,0.0625,0.00016570216867992755,1.4040603519473405,0.0018610238564633122,NaN,NaN
