arch,n,noise,Ld,cellPx,gapPx,pitch_um,cells,bits_per_mm2,G0,s,Ia,seed,t,ber,on_min,on_mean,off_max,lyapunov_at_end,intensity_residual
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,1,1000,0,0.744471010382434,1.1218959512833584,0.0003281663564791064,-0.0005770988183740835,0.000038032220450995096
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,1,3000,0,0.7482262166595116,1.1275812104360463,0.00035503129115845456,-0.0005770988183740835,0.000038032220450995096
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,1,10000,0,0.7462629801313955,1.1279471370203975,0.0003245990077153616,-0.0005770988183740835,0.000038032220450995096
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,1,30000,0,0.7459159723223283,1.1276245370957823,0.0003365992762367569,-0.0005770988183740835,0.000038032220450995096
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,2,1,0,1.6456592251220652,1.7079933764306932,0.00048296249730159127,-0.00088184404266342,0.000045152360652985365
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,2,3,0,1.393194597038482,1.4999084701672734,0.00039401133802950694,-0.00088184404266342,0.000045152360652985365
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,2,10,0,0.9771027019020474,1.1219418765303395,0.00042303951846260623,-0.00088184404266342,0.000045152360652985365
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,2,30,0,0.8110111844665062,0.9812010759315677,0.0002150976870664299,-0.00088184404266342,0.000045152360652985365
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,2,100,0,0.7878310283531452,0.9779893089361955,0.00022043289697520866,-0.00088184404266342,0.000045152360652985365
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,2,300,0,0.7881838217905925,1.0210778001631273,0.00016555534772934202,-0.00088184404266342,0.000045152360652985365
B_4f,64,0,0,3,4,444.5,9,5.06,3,-0.8,0.2,2,1000,0,0.780598738126788,1.048556806307975,0.00021595319742981516,-0.00088184404266342,0.000045152360652985365
