noise,Ld,cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,3,100,0,2.0066774114967547,2.2355236481619936,0.005142037872752369,0,149.82094279618147,-0.0007554495656102453,1.9999994050425527
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,3,300,0,1.9975636556594847,2.228687859961526,0.0067965280607784895,0,148.82117848894947,-0.0007554495656102453,1.9999994050425527
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,3,1000,0,1.9853222760037224,2.2174576000847486,0.007209809977522434,0,147.9866387632763,-0.0007554495656102453,1.9999994050425527
0,0.00001,3,3,120,9,69.44444444444444,3,-0.8,0.2,0,3,3000,0,1.9852119080568391,2.217353444083037,0.007210210102846189,0,147.97904806735392,-0.0007554495656102453,1.9999994050425527
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,1,1,0,2.046024991113152,2.0906585657144388,0.004965899977462837,0,62.00736712346869,-0.002766175100231408,1.9999983204430292
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,1,3,0,2.3483950635524544,2.45480523501209,0.011048245382819786,0,71.15202393764082,-0.002766175100231408,1.9999983204430292
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,1,10,0,2.9009183242865437,3.075840614231542,0.01368831944423292,0,88.97059117234843,-0.002766175100231408,1.9999983204430292
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,1,30,0,3.022436871882832,3.205347663230537,0.01453348427704036,0,92.70799938537226,-0.002766175100231408,1.9999983204430292
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,1,100,0,3.034529312524837,3.2105388039579075,0.01413585018719367,0,92.79351873786115,-0.002766175100231408,1.9999983204430292
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,1,300,0,3.059010445843537,3.221624114428156,0.014644322966402628,0,92.95680686961163,-0.002766175100231408,1.9999983204430292
